lat,long,elev,timediff,current_time,OBUID
408652755,-778345869,3355,0:48:59.720000,"(datetime.datetime(2026, 8, 21, 16, 44, 0, 991000),)",2a3c603c
408652486,-778347395,3396,0:48:59.810000,"(datetime.datetime(2026, 8, 21, 16, 44, 1, 79000),)",2a3c600d
408652755,-778345869,3355,0:48:59.830000,"(datetime.datetime(2026, 8, 21, 16, 44, 1, 94000),)",2a3c603c
408652486,-778347396,3396,0:48:59.910000,"(datetime.datetime(2026, 8, 21, 16, 44, 1, 179000),)",2a3c600d
408652755,-778345869,3355,0:48:59.930000,"(datetime.datetime(2026, 8, 21, 16, 44, 1, 193000),)",2a3c603c
408652486,-778347396,3396,0:49:00.010000,"(datetime.datetime(2026, 8, 21, 16, 44, 1, 281000),)",2a3c600d
408652755,-778345869,3355,0:49:00.020000,"(datetime.datetime(2026, 8, 21, 16, 44, 1, 291000),)",2a3c603c
408652486,-778347396,3396,0:49:00.110000,"(datetime.datetime(2026, 8, 21, 16, 44, 1, 379000),)",2a3c600d
408652755,-778345869,3355,0:49:00.120000,"(datetime.datetime(2026, 8, 21, 16, 44, 1, 390000),)",2a3c603c
408652486,-778347396,3396,0:49:00.210000,"(datetime.datetime(2026, 8, 21, 16, 44, 1, 481000),)",2a3c600d
408652755,-778345869,3355,0:49:00.220000,"(datetime.datetime(2026, 8, 21, 16, 44, 1, 490000),)",2a3c603c
408652486,-778347396,3396,0:49:00.310000,"(datetime.datetime(2026, 8, 21, 16, 44, 1, 578000),)",2a3c600d
408652755,-778345869,3355,0:49:00.320000,"(datetime.datetime(2026, 8, 21, 16, 44, 1, 591000),)",2a3c603c
408652486,-778347396,3396,0:49:00.410000,"(datetime.datetime(2026, 8, 21, 16, 44, 1, 680000),)",2a3c600d
408652755,-778345869,3355,0:49:00.420000,"(datetime.datetime(2026, 8, 21, 16, 44, 1, 692000),)",2a3c603c
408652486,-778347396,3396,0:49:00.510000,"(datetime.datetime(2026, 8, 21, 16, 44, 1, 779000),)",2a3c600d
408652755,-778345869,3355,0:49:00.530000,"(datetime.datetime(2026, 8, 21, 16, 44, 1, 793000),)",2a3c603c
408652486,-778347396,3396,0:49:00.610000,"(datetime.datetime(2026, 8, 21, 16, 44, 1, 878000),)",2a3c600d
408652755,-778345869,3355,0:49:00.630000,"(datetime.datetime(2026, 8, 21, 16, 44, 1, 895000),)",2a3c603c
408652486,-778347396,3396,0:49:00.710000,"(datetime.datetime(2026, 8, 21, 16, 44, 1, 978000),)",2a3c600d
408652755,-778345869,3355,0:49:00.730000,"(datetime.datetime(2026, 8, 21, 16, 44, 1, 998000),)",2a3c603c
408652486,-778347396,3396,0:49:00.810000,"(datetime.datetime(2026, 8, 21, 16, 44, 2, 77000),)",2a3c600d
408652755,-778345869,3355,0:49:00.820000,"(datetime.datetime(2026, 8, 21, 16, 44, 2, 91000),)",2a3c603c
408652486,-778347396,3396,0:49:00.910000,"(datetime.datetime(2026, 8, 21, 16, 44, 2, 179000),)",2a3c600d
408652755,-778345869,3355,0:49:00.920000,"(datetime.datetime(2026, 8, 21, 16, 44, 2, 190000),)",2a3c603c
408652486,-778347396,3396,0:49:01.010000,"(datetime.datetime(2026, 8, 21, 16, 44, 2, 279000),)",2a3c600d
408652755,-778345869,3355,0:49:01.020000,"(datetime.datetime(2026, 8, 21, 16, 44, 2, 290000),)",2a3c603c
408652486,-778347396,3396,0:49:01.110000,"(datetime.datetime(2026, 8, 21, 16, 44, 2, 380000),)",2a3c600d
408652755,-778345869,3355,0:49:01.120000,"(datetime.datetime(2026, 8, 21, 16, 44, 2, 391000),)",2a3c603c
408652486,-778347396,3396,0:49:01.210000,"(datetime.datetime(2026, 8, 21, 16, 44, 2, 479000),)",2a3c600d
408652755,-778345869,3355,0:49:01.220000,"(datetime.datetime(2026, 8, 21, 16, 44, 2, 490000),)",2a3c603c
