lat,long,elev,timediff,current_time,OBUID
408656031,-778308029,3330,1:10:21.390000,"(datetime.datetime(2026, 8, 21, 17, 5, 22, 660000),)",2a3c603c
408655868,-778308252,3363,1:10:21.450000,"(datetime.datetime(2026, 8, 21, 17, 5, 22, 713000),)",2a3c600d
408656031,-778308029,3330,1:10:21.490000,"(datetime.datetime(2026, 8, 21, 17, 5, 22, 760000),)",2a3c603c
408655868,-778308252,3363,1:10:21.550000,"(datetime.datetime(2026, 8, 21, 17, 5, 22, 814000),)",2a3c600d
408656031,-778308029,3330,1:10:21.600000,"(datetime.datetime(2026, 8, 21, 17, 5, 22, 870000),)",2a3c603c
408655868,-778308252,3363,1:10:21.650000,"(datetime.datetime(2026, 8, 21, 17, 5, 22, 914000),)",2a3c600d
408656031,-778308029,3330,1:10:21.690000,"(datetime.datetime(2026, 8, 21, 17, 5, 22, 962000),)",2a3c603c
408655868,-778308252,3363,1:10:21.730000,"(datetime.datetime(2026, 8, 21, 17, 5, 22, 994000),)",2a3c600d
408656031,-778308029,3330,1:10:21.790000,"(datetime.datetime(2026, 8, 21, 17, 5, 23, 62000),)",2a3c603c
408655868,-778308252,3363,1:10:21.820000,"(datetime.datetime(2026, 8, 21, 17, 5, 23, 90000),)",2a3c600d
408656031,-778308029,3330,1:10:21.890000,"(datetime.datetime(2026, 8, 21, 17, 5, 23, 161000),)",2a3c603c
408655868,-778308252,3363,1:10:21.930000,"(datetime.datetime(2026, 8, 21, 17, 5, 23, 199000),)",2a3c600d
408656031,-778308029,3330,1:10:21.990000,"(datetime.datetime(2026, 8, 21, 17, 5, 23, 260000),)",2a3c603c
408655868,-778308252,3363,1:10:22.020000,"(datetime.datetime(2026, 8, 21, 17, 5, 23, 291000),)",2a3c600d
408656031,-778308029,3330,1:10:22.090000,"(datetime.datetime(2026, 8, 21, 17, 5, 23, 362000),)",2a3c603c
408655868,-778308252,3363,1:10:22.130000,"(datetime.datetime(2026, 8, 21, 17, 5, 23, 393000),)",2a3c600d
408656031,-778308029,3330,1:10:22.190000,"(datetime.datetime(2026, 8, 21, 17, 5, 23, 461000),)",2a3c603c
408655868,-778308252,3363,1:10:22.220000,"(datetime.datetime(2026, 8, 21, 17, 5, 23, 491000),)",2a3c600d
408656031,-778308029,3330,1:10:22.300000,"(datetime.datetime(2026, 8, 21, 17, 5, 23, 572000),)",2a3c603c
408655868,-778308252,3363,1:10:22.320000,"(datetime.datetime(2026, 8, 21, 17, 5, 23, 591000),)",2a3c600d
408656031,-778308029,3330,1:10:22.390000,"(datetime.datetime(2026, 8, 21, 17, 5, 23, 661000),)",2a3c603c
408655868,-778308252,3363,1:10:22.420000,"(datetime.datetime(2026, 8, 21, 17, 5, 23, 690000),)",2a3c600d
408656031,-778308029,3330,1:10:22.490000,"(datetime.datetime(2026, 8, 21, 17, 5, 23, 760000),)",2a3c603c
408655868,-778308252,3363,1:10:22.520000,"(datetime.datetime(2026, 8, 21, 17, 5, 23, 790000),)",2a3c600d
408656031,-778308029,3330,1:10:22.590000,"(datetime.datetime(2026, 8, 21, 17, 5, 23, 861000),)",2a3c603c
408655868,-778308252,3363,1:10:22.620000,"(datetime.datetime(2026, 8, 21, 17, 5, 23, 890000),)",2a3c600d
408656031,-778308029,3330,1:10:22.690000,"(datetime.datetime(2026, 8, 21, 17, 5, 23, 962000),)",2a3c603c
408655868,-778308252,3363,1:10:22.730000,"(datetime.datetime(2026, 8, 21, 17, 5, 23, 993000),)",2a3c600d
408656031,-778308029,3330,1:10:22.790000,"(datetime.datetime(2026, 8, 21, 17, 5, 24, 62000),)",2a3c603c
408655868,-778308252,3363,1:10:22.820000,"(datetime.datetime(2026, 8, 21, 17, 5, 24, 90000),)",2a3c600d
408656031,-778308029,3330,1:10:22.890000,"(datetime.datetime(2026, 8, 21, 17, 5, 24, 161000),)",2a3c603c
408655868,-778308252,3363,1:10:22.920000,"(datetime.datetime(2026, 8, 21, 17, 5, 24, 191000),)",2a3c600d
408656031,-778308029,3330,1:10:22.990000,"(datetime.datetime(2026, 8, 21, 17, 5, 24, 262000),)",2a3c603c
408655868,-778308252,3363,1:10:23.030000,"(datetime.datetime(2026, 8, 21, 17, 5, 24, 297000),)",2a3c600d
408656031,-778308029,3330,1:10:23.090000,"(datetime.datetime(2026, 8, 21, 17, 5, 24, 353000),)",2a3c603c
408655868,-778308252,3363,1:10:23.120000,"(datetime.datetime(2026, 8, 21, 17, 5, 24, 390000),)",2a3c600d
408656031,-778308029,3330,1:10:23.190000,"(datetime.datetime(2026, 8, 21, 17, 5, 24, 454000),)",2a3c603c
408655868,-778308252,3363,1:10:23.220000,"(datetime.datetime(2026, 8, 21, 17, 5, 24, 491000),)",2a3c600d
408656031,-778308029,3330,1:10:23.300000,"(datetime.datetime(2026, 8, 21, 17, 5, 24, 565000),)",2a3c603c
408655868,-778308252,3363,1:10:23.320000,"(datetime.datetime(2026, 8, 21, 17, 5, 24, 590000),)",2a3c600d
408656031,-778308029,3330,1:10:23.390000,"(datetime.datetime(2026, 8, 21, 17, 5, 24, 660000),)",2a3c603c
408655868,-778308252,3363,1:10:23.420000,"(datetime.datetime(2026, 8, 21, 17, 5, 24, 691000),)",2a3c600d
408656031,-778308029,3330,1:10:23.500000,"(datetime.datetime(2026, 8, 21, 17, 5, 24, 765000),)",2a3c603c
408655868,-778308252,3363,1:10:23.520000,"(datetime.datetime(2026, 8, 21, 17, 5, 24, 790000),)",2a3c600d
408656031,-778308029,3330,1:10:23.590000,"(datetime.datetime(2026, 8, 21, 17, 5, 24, 862000),)",2a3c603c
408655868,-778308252,3363,1:10:23.620000,"(datetime.datetime(2026, 8, 21, 17, 5, 24, 890000),)",2a3c600d
