lat,long,elev,timediff,current_time,OBUID
408658663,-778315324,3373,1:15:50.870000,"(datetime.datetime(2026, 8, 21, 17, 10, 52, 136000),)",2a3c600d
408658475,-778314124,3344,1:15:50.880000,"(datetime.datetime(2026, 8, 21, 17, 10, 52, 143000),)",2a3c603c
408658663,-778315324,3373,1:15:50.970000,"(datetime.datetime(2026, 8, 21, 17, 10, 52, 237000),)",2a3c600d
408658475,-778314124,3344,1:15:50.980000,"(datetime.datetime(2026, 8, 21, 17, 10, 52, 248000),)",2a3c603c
408658475,-778314124,3344,1:15:51.070000,"(datetime.datetime(2026, 8, 21, 17, 10, 52, 339000),)",2a3c603c
408658663,-778315324,3373,1:15:51.080000,"(datetime.datetime(2026, 8, 21, 17, 10, 52, 345000),)",2a3c600d
408658475,-778314124,3344,1:15:51.170000,"(datetime.datetime(2026, 8, 21, 17, 10, 52, 440000),)",2a3c603c
408658475,-778314124,3344,1:15:51.270000,"(datetime.datetime(2026, 8, 21, 17, 10, 52, 536000),)",2a3c603c
408658663,-778315324,3373,1:15:51.270000,"(datetime.datetime(2026, 8, 21, 17, 10, 52, 542000),)",2a3c600d
408658663,-778315324,3373,1:15:51.280000,"(datetime.datetime(2026, 8, 21, 17, 10, 52, 546000),)",2a3c600d
408658475,-778314124,3344,1:15:51.370000,"(datetime.datetime(2026, 8, 21, 17, 10, 52, 637000),)",2a3c603c
408658663,-778315324,3373,1:15:51.370000,"(datetime.datetime(2026, 8, 21, 17, 10, 52, 642000),)",2a3c600d
408658663,-778315324,3373,1:15:51.460000,"(datetime.datetime(2026, 8, 21, 17, 10, 52, 732000),)",2a3c600d
408658475,-778314124,3344,1:15:51.470000,"(datetime.datetime(2026, 8, 21, 17, 10, 52, 737000),)",2a3c603c
408658663,-778315324,3373,1:15:51.560000,"(datetime.datetime(2026, 8, 21, 17, 10, 52, 831000),)",2a3c600d
408658475,-778314124,3344,1:15:51.570000,"(datetime.datetime(2026, 8, 21, 17, 10, 52, 837000),)",2a3c603c
408658663,-778315324,3373,1:15:51.660000,"(datetime.datetime(2026, 8, 21, 17, 10, 52, 932000),)",2a3c600d
408658475,-778314124,3344,1:15:51.680000,"(datetime.datetime(2026, 8, 21, 17, 10, 52, 952000),)",2a3c603c
408658663,-778315324,3373,1:15:51.760000,"(datetime.datetime(2026, 8, 21, 17, 10, 53, 31000),)",2a3c600d
408658663,-778315324,3373,1:15:51.860000,"(datetime.datetime(2026, 8, 21, 17, 10, 53, 130000),)",2a3c600d
408658475,-778314124,3344,1:15:51.870000,"(datetime.datetime(2026, 8, 21, 17, 10, 53, 136000),)",2a3c603c
408658475,-778314124,3344,1:15:51.880000,"(datetime.datetime(2026, 8, 21, 17, 10, 53, 149000),)",2a3c603c
408658663,-778315324,3373,1:15:51.960000,"(datetime.datetime(2026, 8, 21, 17, 10, 53, 232000),)",2a3c600d
408658475,-778314124,3344,1:15:51.980000,"(datetime.datetime(2026, 8, 21, 17, 10, 53, 247000),)",2a3c603c
408658663,-778315324,3373,1:15:52.070000,"(datetime.datetime(2026, 8, 21, 17, 10, 53, 333000),)",2a3c600d
408658475,-778314124,3344,1:15:52.070000,"(datetime.datetime(2026, 8, 21, 17, 10, 53, 342000),)",2a3c603c
408658663,-778315324,3373,1:15:52.170000,"(datetime.datetime(2026, 8, 21, 17, 10, 53, 433000),)",2a3c600d
408658475,-778314124,3344,1:15:52.180000,"(datetime.datetime(2026, 8, 21, 17, 10, 53, 446000),)",2a3c603c
408658663,-778315324,3373,1:15:52.270000,"(datetime.datetime(2026, 8, 21, 17, 10, 53, 536000),)",2a3c600d
408658475,-778314124,3344,1:15:52.280000,"(datetime.datetime(2026, 8, 21, 17, 10, 53, 545000),)",2a3c603c
408658663,-778315324,3373,1:15:52.360000,"(datetime.datetime(2026, 8, 21, 17, 10, 53, 631000),)",2a3c600d
408658475,-778314124,3344,1:15:52.380000,"(datetime.datetime(2026, 8, 21, 17, 10, 53, 646000),)",2a3c603c
408658663,-778315324,3373,1:15:52.470000,"(datetime.datetime(2026, 8, 21, 17, 10, 53, 740000),)",2a3c600d
408658475,-778314124,3344,1:15:52.490000,"(datetime.datetime(2026, 8, 21, 17, 10, 53, 752000),)",2a3c603c
408658663,-778315324,3373,1:15:52.580000,"(datetime.datetime(2026, 8, 21, 17, 10, 53, 843000),)",2a3c600d
408658475,-778314124,3344,1:15:52.580000,"(datetime.datetime(2026, 8, 21, 17, 10, 53, 849000),)",2a3c603c
408658663,-778315324,3373,1:15:52.660000,"(datetime.datetime(2026, 8, 21, 17, 10, 53, 930000),)",2a3c600d
