lat,long,elev,timediff,current_time,OBUID
408640707,-778314518,3330,1:36:07.800000,"(datetime.datetime(2026, 8, 21, 17, 31, 9, 64000),)",2a3c600d
408640130,-778315439,3304,1:36:07.860000,"(datetime.datetime(2026, 8, 21, 17, 31, 9, 124000),)",2a3c603c
408640722,-778314511,3331,1:36:07.900000,"(datetime.datetime(2026, 8, 21, 17, 31, 9, 164000),)",2a3c600d
408640130,-778315439,3304,1:36:07.960000,"(datetime.datetime(2026, 8, 21, 17, 31, 9, 224000),)",2a3c603c
408640724,-778314500,3331,1:36:08,"(datetime.datetime(2026, 8, 21, 17, 31, 9, 265000),)",2a3c600d
408640130,-778315439,3304,1:36:08.060000,"(datetime.datetime(2026, 8, 21, 17, 31, 9, 323000),)",2a3c603c
408640725,-778314485,3331,1:36:08.100000,"(datetime.datetime(2026, 8, 21, 17, 31, 9, 364000),)",2a3c600d
408640130,-778315439,3304,1:36:08.160000,"(datetime.datetime(2026, 8, 21, 17, 31, 9, 424000),)",2a3c603c
408640730,-778314470,3331,1:36:08.200000,"(datetime.datetime(2026, 8, 21, 17, 31, 9, 466000),)",2a3c600d
408640130,-778315439,3304,1:36:08.260000,"(datetime.datetime(2026, 8, 21, 17, 31, 9, 524000),)",2a3c603c
408640731,-778314458,3331,1:36:08.300000,"(datetime.datetime(2026, 8, 21, 17, 31, 9, 564000),)",2a3c600d
408640130,-778315439,3304,1:36:08.360000,"(datetime.datetime(2026, 8, 21, 17, 31, 9, 624000),)",2a3c603c
408640733,-778314443,3331,1:36:08.400000,"(datetime.datetime(2026, 8, 21, 17, 31, 9, 665000),)",2a3c600d
408640130,-778315439,3304,1:36:08.460000,"(datetime.datetime(2026, 8, 21, 17, 31, 9, 724000),)",2a3c603c
408640736,-778314427,3331,1:36:08.500000,"(datetime.datetime(2026, 8, 21, 17, 31, 9, 764000),)",2a3c600d
408640130,-778315439,3304,1:36:08.560000,"(datetime.datetime(2026, 8, 21, 17, 31, 9, 824000),)",2a3c603c
408640738,-778314412,3331,1:36:08.600000,"(datetime.datetime(2026, 8, 21, 17, 31, 9, 867000),)",2a3c600d
408640130,-778315439,3304,1:36:08.660000,"(datetime.datetime(2026, 8, 21, 17, 31, 9, 925000),)",2a3c603c
408640740,-778314397,3331,1:36:08.700000,"(datetime.datetime(2026, 8, 21, 17, 31, 9, 965000),)",2a3c600d
408640130,-778315439,3304,1:36:08.760000,"(datetime.datetime(2026, 8, 21, 17, 31, 10, 24000),)",2a3c603c
408640742,-778314384,3331,1:36:08.800000,"(datetime.datetime(2026, 8, 21, 17, 31, 10, 64000),)",2a3c600d
408640130,-778315439,3304,1:36:08.850000,"(datetime.datetime(2026, 8, 21, 17, 31, 10, 117000),)",2a3c603c
408640749,-778314363,3330,1:36:08.900000,"(datetime.datetime(2026, 8, 21, 17, 31, 10, 165000),)",2a3c600d
408640130,-778315439,3304,1:36:08.950000,"(datetime.datetime(2026, 8, 21, 17, 31, 10, 217000),)",2a3c603c
408640750,-778314347,3330,1:36:09,"(datetime.datetime(2026, 8, 21, 17, 31, 10, 263000),)",2a3c600d
408640130,-778315439,3304,1:36:09.050000,"(datetime.datetime(2026, 8, 21, 17, 31, 10, 317000),)",2a3c603c
408640752,-778314334,3330,1:36:09.100000,"(datetime.datetime(2026, 8, 21, 17, 31, 10, 364000),)",2a3c600d
408640130,-778315439,3304,1:36:09.150000,"(datetime.datetime(2026, 8, 21, 17, 31, 10, 417000),)",2a3c603c
408640754,-778314319,3331,1:36:09.200000,"(datetime.datetime(2026, 8, 21, 17, 31, 10, 465000),)",2a3c600d
408640130,-778315439,3304,1:36:09.250000,"(datetime.datetime(2026, 8, 21, 17, 31, 10, 517000),)",2a3c603c
408640756,-778314304,3330,1:36:09.300000,"(datetime.datetime(2026, 8, 21, 17, 31, 10, 564000),)",2a3c600d
408640130,-778315439,3304,1:36:09.360000,"(datetime.datetime(2026, 8, 21, 17, 31, 10, 629000),)",2a3c603c
408640758,-778314292,3330,1:36:09.400000,"(datetime.datetime(2026, 8, 21, 17, 31, 10, 664000),)",2a3c600d
408640130,-778315439,3304,1:36:09.450000,"(datetime.datetime(2026, 8, 21, 17, 31, 10, 717000),)",2a3c603c
408640760,-778314273,3331,1:36:09.500000,"(datetime.datetime(2026, 8, 21, 17, 31, 10, 763000),)",2a3c600d
408640130,-778315439,3304,1:36:09.550000,"(datetime.datetime(2026, 8, 21, 17, 31, 10, 817000),)",2a3c603c
408640762,-778314260,3330,1:36:09.600000,"(datetime.datetime(2026, 8, 21, 17, 31, 10, 865000),)",2a3c600d
408640130,-778315439,3304,1:36:09.650000,"(datetime.datetime(2026, 8, 21, 17, 31, 10, 917000),)",2a3c603c
408640763,-778314246,3330,1:36:09.700000,"(datetime.datetime(2026, 8, 21, 17, 31, 10, 963000),)",2a3c600d
408640130,-778315439,3304,1:36:09.750000,"(datetime.datetime(2026, 8, 21, 17, 31, 11, 18000),)",2a3c603c
408640766,-778314231,3330,1:36:09.810000,"(datetime.datetime(2026, 8, 21, 17, 31, 11, 74000),)",2a3c600d
408640130,-778315439,3304,1:36:09.840000,"(datetime.datetime(2026, 8, 21, 17, 31, 11, 111000),)",2a3c603c
408640782,-778314195,3334,1:36:09.900000,"(datetime.datetime(2026, 8, 21, 17, 31, 11, 164000),)",2a3c600d
408640130,-778315439,3304,1:36:09.950000,"(datetime.datetime(2026, 8, 21, 17, 31, 11, 216000),)",2a3c603c
408640785,-778314177,3334,1:36:10,"(datetime.datetime(2026, 8, 21, 17, 31, 11, 264000),)",2a3c600d
408640130,-778315439,3304,1:36:10.040000,"(datetime.datetime(2026, 8, 21, 17, 31, 11, 311000),)",2a3c603c
408640785,-778314167,3334,1:36:10.100000,"(datetime.datetime(2026, 8, 21, 17, 31, 11, 365000),)",2a3c600d
408640130,-778315439,3304,1:36:10.150000,"(datetime.datetime(2026, 8, 21, 17, 31, 11, 415000),)",2a3c603c
408640790,-778314147,3334,1:36:10.200000,"(datetime.datetime(2026, 8, 21, 17, 31, 11, 464000),)",2a3c600d
408640130,-778315439,3304,1:36:10.240000,"(datetime.datetime(2026, 8, 21, 17, 31, 11, 512000),)",2a3c603c
408640792,-778314135,3334,1:36:10.300000,"(datetime.datetime(2026, 8, 21, 17, 31, 11, 565000),)",2a3c600d
