lat,long,elev,timediff,current_time,OBUID
408639085,-778316674,3388,0:31:50.500000,"(datetime.datetime(2026, 8, 7, 15, 34, 49, 325000),)",2a3c603c
408641802,-778311623,3346,0:31:50.570000,"(datetime.datetime(2026, 8, 7, 15, 34, 49, 395000),)",2a3c600d
408639165,-778316539,3388,0:31:50.600000,"(datetime.datetime(2026, 8, 7, 15, 34, 49, 424000),)",2a3c603c
408641880,-778311499,3347,0:31:50.700000,"(datetime.datetime(2026, 8, 7, 15, 34, 49, 520000),)",2a3c600d
408639240,-778316409,3388,0:31:50.700000,"(datetime.datetime(2026, 8, 7, 15, 34, 49, 526000),)",2a3c603c
408641956,-778311370,3347,0:31:50.770000,"(datetime.datetime(2026, 8, 7, 15, 34, 49, 594000),)",2a3c600d
408639317,-778316274,3388,0:31:50.800000,"(datetime.datetime(2026, 8, 7, 15, 34, 49, 624000),)",2a3c603c
408642026,-778311241,3347,0:31:50.890000,"(datetime.datetime(2026, 8, 7, 15, 34, 49, 708000),)",2a3c600d
408639392,-778316144,3388,0:31:50.900000,"(datetime.datetime(2026, 8, 7, 15, 34, 49, 725000),)",2a3c603c
408642105,-778311117,3347,0:31:50.970000,"(datetime.datetime(2026, 8, 7, 15, 34, 49, 795000),)",2a3c600d
408639467,-778316012,3388,0:31:51,"(datetime.datetime(2026, 8, 7, 15, 34, 49, 825000),)",2a3c603c
408642181,-778310991,3347,0:31:51.080000,"(datetime.datetime(2026, 8, 7, 15, 34, 49, 900000),)",2a3c600d
408639543,-778315882,3388,0:31:51.120000,"(datetime.datetime(2026, 8, 7, 15, 34, 49, 941000),)",2a3c603c
408642251,-778310864,3348,0:31:51.170000,"(datetime.datetime(2026, 8, 7, 15, 34, 49, 995000),)",2a3c600d
408639620,-778315751,3388,0:31:51.200000,"(datetime.datetime(2026, 8, 7, 15, 34, 50, 25000),)",2a3c603c
408642325,-778310738,3347,0:31:51.280000,"(datetime.datetime(2026, 8, 7, 15, 34, 50, 101000),)",2a3c600d
408639697,-778315623,3388,0:31:51.300000,"(datetime.datetime(2026, 8, 7, 15, 34, 50, 126000),)",2a3c603c
408642402,-778310612,3347,0:31:51.390000,"(datetime.datetime(2026, 8, 7, 15, 34, 50, 213000),)",2a3c600d
408639773,-778315489,3388,0:31:51.410000,"(datetime.datetime(2026, 8, 7, 15, 34, 50, 229000),)",2a3c603c
408642475,-778310490,3347,0:31:51.490000,"(datetime.datetime(2026, 8, 7, 15, 34, 50, 313000),)",2a3c600d
408639849,-778315361,3388,0:31:51.500000,"(datetime.datetime(2026, 8, 7, 15, 34, 50, 325000),)",2a3c603c
408639927,-778315231,3389,0:31:51.600000,"(datetime.datetime(2026, 8, 7, 15, 34, 50, 426000),)",2a3c603c
408642549,-778310364,3346,0:31:51.680000,"(datetime.datetime(2026, 8, 7, 15, 34, 50, 503000),)",2a3c600d
408642624,-778310240,3347,0:31:51.690000,"(datetime.datetime(2026, 8, 7, 15, 34, 50, 508000),)",2a3c600d
408640000,-778315102,3388,0:31:51.700000,"(datetime.datetime(2026, 8, 7, 15, 34, 50, 525000),)",2a3c603c
408640078,-778314971,3389,0:31:51.800000,"(datetime.datetime(2026, 8, 7, 15, 34, 50, 626000),)",2a3c603c
408642697,-778310118,3346,0:31:51.870000,"(datetime.datetime(2026, 8, 7, 15, 34, 50, 695000),)",2a3c600d
408642770,-778309996,3346,0:31:51.880000,"(datetime.datetime(2026, 8, 7, 15, 34, 50, 706000),)",2a3c600d
408640153,-778314844,3389,0:31:51.900000,"(datetime.datetime(2026, 8, 7, 15, 34, 50, 724000),)",2a3c603c
408642847,-778309873,3346,0:31:51.970000,"(datetime.datetime(2026, 8, 7, 15, 34, 50, 794000),)",2a3c600d
408640230,-778314715,3389,0:31:52,"(datetime.datetime(2026, 8, 7, 15, 34, 50, 825000),)",2a3c603c
408642922,-778309756,3346,0:31:52.070000,"(datetime.datetime(2026, 8, 7, 15, 34, 50, 895000),)",2a3c600d
408640307,-778314589,3389,0:31:52.100000,"(datetime.datetime(2026, 8, 7, 15, 34, 50, 925000),)",2a3c603c
408643003,-778309639,3347,0:31:52.200000,"(datetime.datetime(2026, 8, 7, 15, 34, 51, 22000),)",2a3c600d
408640384,-778314456,3389,0:31:52.210000,"(datetime.datetime(2026, 8, 7, 15, 34, 51, 32000),)",2a3c603c
408643077,-778309521,3347,0:31:52.280000,"(datetime.datetime(2026, 8, 7, 15, 34, 51, 103000),)",2a3c600d
408640458,-778314329,3389,0:31:52.300000,"(datetime.datetime(2026, 8, 7, 15, 34, 51, 125000),)",2a3c603c
408643152,-778309398,3347,0:31:52.390000,"(datetime.datetime(2026, 8, 7, 15, 34, 51, 207000),)",2a3c600d
408640536,-778314197,3389,0:31:52.400000,"(datetime.datetime(2026, 8, 7, 15, 34, 51, 224000),)",2a3c603c
408643232,-778309287,3348,0:31:52.500000,"(datetime.datetime(2026, 8, 7, 15, 34, 51, 324000),)",2a3c600d
408640611,-778314071,3389,0:31:52.510000,"(datetime.datetime(2026, 8, 7, 15, 34, 51, 329000),)",2a3c603c
408643310,-778309173,3347,0:31:52.590000,"(datetime.datetime(2026, 8, 7, 15, 34, 51, 407000),)",2a3c600d
408640689,-778313940,3389,0:31:52.600000,"(datetime.datetime(2026, 8, 7, 15, 34, 51, 424000),)",2a3c603c
408643389,-778309063,3348,0:31:52.690000,"(datetime.datetime(2026, 8, 7, 15, 34, 51, 509000),)",2a3c600d
