lat,long,elev,timediff,current_time,OBUID
408639657,-778316435,3419,1:05:13.600000,"(datetime.datetime(2026, 8, 7, 16, 8, 12, 425000),)",2a3c603c
408639515,-778315343,3320,1:05:13.690000,"(datetime.datetime(2026, 8, 7, 16, 8, 12, 510000),)",2a3c600d
408639658,-778316426,3419,1:05:13.700000,"(datetime.datetime(2026, 8, 7, 16, 8, 12, 525000),)",2a3c603c
408639523,-778315327,3320,1:05:13.790000,"(datetime.datetime(2026, 8, 7, 16, 8, 12, 615000),)",2a3c600d
408639662,-778316414,3420,1:05:13.800000,"(datetime.datetime(2026, 8, 7, 16, 8, 12, 625000),)",2a3c603c
408639533,-778315313,3320,1:05:13.890000,"(datetime.datetime(2026, 8, 7, 16, 8, 12, 715000),)",2a3c600d
408639669,-778316409,3419,1:05:13.900000,"(datetime.datetime(2026, 8, 7, 16, 8, 12, 727000),)",2a3c603c
408639541,-778315298,3320,1:05:13.990000,"(datetime.datetime(2026, 8, 7, 16, 8, 12, 808000),)",2a3c600d
408639672,-778316397,3419,1:05:14,"(datetime.datetime(2026, 8, 7, 16, 8, 12, 826000),)",2a3c603c
408639545,-778315280,3320,1:05:14.110000,"(datetime.datetime(2026, 8, 7, 16, 8, 12, 933000),)",2a3c600d
408639675,-778316390,3419,1:05:14.120000,"(datetime.datetime(2026, 8, 7, 16, 8, 12, 937000),)",2a3c603c
408639554,-778315265,3320,1:05:14.190000,"(datetime.datetime(2026, 8, 7, 16, 8, 13, 7000),)",2a3c600d
408639675,-778316390,3419,1:05:14.200000,"(datetime.datetime(2026, 8, 7, 16, 8, 13, 24000),)",2a3c603c
408639565,-778315252,3320,1:05:14.290000,"(datetime.datetime(2026, 8, 7, 16, 8, 13, 108000),)",2a3c600d
408639678,-778316379,3419,1:05:14.300000,"(datetime.datetime(2026, 8, 7, 16, 8, 13, 124000),)",2a3c603c
408639560,-778315233,3320,1:05:14.390000,"(datetime.datetime(2026, 8, 7, 16, 8, 13, 208000),)",2a3c600d
408639685,-778316351,3420,1:05:14.410000,"(datetime.datetime(2026, 8, 7, 16, 8, 13, 231000),)",2a3c603c
408639570,-778315218,3320,1:05:14.490000,"(datetime.datetime(2026, 8, 7, 16, 8, 13, 307000),)",2a3c600d
408639694,-778316328,3421,1:05:14.510000,"(datetime.datetime(2026, 8, 7, 16, 8, 13, 327000),)",2a3c603c
408639578,-778315204,3320,1:05:14.590000,"(datetime.datetime(2026, 8, 7, 16, 8, 13, 409000),)",2a3c600d
408639694,-778316328,3421,1:05:14.600000,"(datetime.datetime(2026, 8, 7, 16, 8, 13, 426000),)",2a3c603c
408639588,-778315188,3320,1:05:14.700000,"(datetime.datetime(2026, 8, 7, 16, 8, 13, 521000),)",2a3c600d
408639700,-778316314,3421,1:05:14.700000,"(datetime.datetime(2026, 8, 7, 16, 8, 13, 526000),)",2a3c603c
408639594,-778315171,3320,1:05:14.790000,"(datetime.datetime(2026, 8, 7, 16, 8, 13, 608000),)",2a3c600d
408639705,-778316305,3420,1:05:14.800000,"(datetime.datetime(2026, 8, 7, 16, 8, 13, 625000),)",2a3c603c
408639601,-778315155,3320,1:05:14.880000,"(datetime.datetime(2026, 8, 7, 16, 8, 13, 707000),)",2a3c600d
408639709,-778316289,3421,1:05:14.900000,"(datetime.datetime(2026, 8, 7, 16, 8, 13, 726000),)",2a3c603c
408639617,-778315140,3319,1:05:14.990000,"(datetime.datetime(2026, 8, 7, 16, 8, 13, 808000),)",2a3c600d
408639715,-778316275,3421,1:05:15,"(datetime.datetime(2026, 8, 7, 16, 8, 13, 825000),)",2a3c603c
408639628,-778315123,3319,1:05:15.090000,"(datetime.datetime(2026, 8, 7, 16, 8, 13, 907000),)",2a3c600d
408639721,-778316264,3421,1:05:15.100000,"(datetime.datetime(2026, 8, 7, 16, 8, 13, 924000),)",2a3c603c
408639636,-778315105,3319,1:05:15.190000,"(datetime.datetime(2026, 8, 7, 16, 8, 14, 8000),)",2a3c600d
408639727,-778316249,3421,1:05:15.190000,"(datetime.datetime(2026, 8, 7, 16, 8, 14, 16000),)",2a3c603c
408639651,-778315090,3320,1:05:15.290000,"(datetime.datetime(2026, 8, 7, 16, 8, 14, 110000),)",2a3c600d
408639733,-778316236,3420,1:05:15.290000,"(datetime.datetime(2026, 8, 7, 16, 8, 14, 117000),)",2a3c603c
408639654,-778315065,3320,1:05:15.390000,"(datetime.datetime(2026, 8, 7, 16, 8, 14, 210000),)",2a3c600d
408639742,-778316202,3422,1:05:15.390000,"(datetime.datetime(2026, 8, 7, 16, 8, 14, 215000),)",2a3c603c
408639668,-778315045,3321,1:05:15.490000,"(datetime.datetime(2026, 8, 7, 16, 8, 14, 313000),)",2a3c600d
408639747,-778316184,3421,1:05:15.500000,"(datetime.datetime(2026, 8, 7, 16, 8, 14, 319000),)",2a3c603c
408639681,-778315024,3320,1:05:15.590000,"(datetime.datetime(2026, 8, 7, 16, 8, 14, 407000),)",2a3c600d
408639753,-778316170,3422,1:05:15.590000,"(datetime.datetime(2026, 8, 7, 16, 8, 14, 417000),)",2a3c603c
408639695,-778315003,3320,1:05:15.690000,"(datetime.datetime(2026, 8, 7, 16, 8, 14, 507000),)",2a3c600d
408639759,-778316155,3421,1:05:15.700000,"(datetime.datetime(2026, 8, 7, 16, 8, 14, 520000),)",2a3c603c
408639710,-778314981,3320,1:05:15.790000,"(datetime.datetime(2026, 8, 7, 16, 8, 14, 608000),)",2a3c600d
408639767,-778316141,3421,1:05:15.790000,"(datetime.datetime(2026, 8, 7, 16, 8, 14, 615000),)",2a3c603c
408639726,-778314954,3320,1:05:15.890000,"(datetime.datetime(2026, 8, 7, 16, 8, 14, 708000),)",2a3c600d
408639771,-778316122,3422,1:05:15.890000,"(datetime.datetime(2026, 8, 7, 16, 8, 14, 715000),)",2a3c603c
408639743,-778314929,3320,1:05:15.990000,"(datetime.datetime(2026, 8, 7, 16, 8, 14, 808000),)",2a3c600d
408639778,-778316107,3422,1:05:15.990000,"(datetime.datetime(2026, 8, 7, 16, 8, 14, 816000),)",2a3c603c
408639760,-778314902,3320,1:05:16.090000,"(datetime.datetime(2026, 8, 7, 16, 8, 14, 907000),)",2a3c600d
408639784,-778316091,3422,1:05:16.090000,"(datetime.datetime(2026, 8, 7, 16, 8, 14, 915000),)",2a3c603c
408639777,-778314876,3320,1:05:16.190000,"(datetime.datetime(2026, 8, 7, 16, 8, 15, 9000),)",2a3c600d
408639790,-778316075,3422,1:05:16.190000,"(datetime.datetime(2026, 8, 7, 16, 8, 15, 16000),)",2a3c603c
408639797,-778314846,3320,1:05:16.290000,"(datetime.datetime(2026, 8, 7, 16, 8, 15, 108000),)",2a3c600d
408639797,-778316058,3422,1:05:16.290000,"(datetime.datetime(2026, 8, 7, 16, 8, 15, 115000),)",2a3c603c
408639812,-778314809,3321,1:05:16.390000,"(datetime.datetime(2026, 8, 7, 16, 8, 15, 208000),)",2a3c600d
408639806,-778316043,3422,1:05:16.390000,"(datetime.datetime(2026, 8, 7, 16, 8, 15, 217000),)",2a3c603c
408639833,-778314776,3321,1:05:16.490000,"(datetime.datetime(2026, 8, 7, 16, 8, 15, 308000),)",2a3c600d
408639811,-778316024,3422,1:05:16.490000,"(datetime.datetime(2026, 8, 7, 16, 8, 15, 316000),)",2a3c603c
408639856,-778314744,3321,1:05:16.590000,"(datetime.datetime(2026, 8, 7, 16, 8, 15, 408000),)",2a3c600d
408639818,-778316005,3422,1:05:16.590000,"(datetime.datetime(2026, 8, 7, 16, 8, 15, 415000),)",2a3c603c
408639875,-778314707,3321,1:05:16.690000,"(datetime.datetime(2026, 8, 7, 16, 8, 15, 507000),)",2a3c600d
408639826,-778315987,3422,1:05:16.690000,"(datetime.datetime(2026, 8, 7, 16, 8, 15, 515000),)",2a3c603c
408639901,-778314674,3321,1:05:16.790000,"(datetime.datetime(2026, 8, 7, 16, 8, 15, 609000),)",2a3c600d
408639833,-778315965,3422,1:05:16.790000,"(datetime.datetime(2026, 8, 7, 16, 8, 15, 615000),)",2a3c603c
408639922,-778314639,3321,1:05:16.890000,"(datetime.datetime(2026, 8, 7, 16, 8, 15, 707000),)",2a3c600d
408639842,-778315944,3422,1:05:16.910000,"(datetime.datetime(2026, 8, 7, 16, 8, 15, 728000),)",2a3c603c
408639943,-778314602,3321,1:05:16.980000,"(datetime.datetime(2026, 8, 7, 16, 8, 15, 807000),)",2a3c600d
408639853,-778315920,3422,1:05:16.990000,"(datetime.datetime(2026, 8, 7, 16, 8, 15, 816000),)",2a3c603c
408639967,-778314566,3321,1:05:17.090000,"(datetime.datetime(2026, 8, 7, 16, 8, 15, 907000),)",2a3c600d
408639861,-778315895,3422,1:05:17.090000,"(datetime.datetime(2026, 8, 7, 16, 8, 15, 915000),)",2a3c603c
408639870,-778315867,3422,1:05:17.190000,"(datetime.datetime(2026, 8, 7, 16, 8, 16, 16000),)",2a3c603c
408639990,-778314530,3321,1:05:17.200000,"(datetime.datetime(2026, 8, 7, 16, 8, 16, 21000),)",2a3c600d
408640013,-778314491,3321,1:05:17.290000,"(datetime.datetime(2026, 8, 7, 16, 8, 16, 108000),)",2a3c600d
408639881,-778315838,3422,1:05:17.290000,"(datetime.datetime(2026, 8, 7, 16, 8, 16, 115000),)",2a3c603c
408640029,-778314451,3322,1:05:17.390000,"(datetime.datetime(2026, 8, 7, 16, 8, 16, 207000),)",2a3c600d
408639886,-778315826,3421,1:05:17.390000,"(datetime.datetime(2026, 8, 7, 16, 8, 16, 215000),)",2a3c603c
408640054,-778314408,3321,1:05:17.490000,"(datetime.datetime(2026, 8, 7, 16, 8, 16, 308000),)",2a3c600d
408639898,-778315791,3421,1:05:17.490000,"(datetime.datetime(2026, 8, 7, 16, 8, 16, 316000),)",2a3c603c
408640079,-778314369,3321,1:05:17.590000,"(datetime.datetime(2026, 8, 7, 16, 8, 16, 408000),)",2a3c600d
408639910,-778315759,3421,1:05:17.590000,"(datetime.datetime(2026, 8, 7, 16, 8, 16, 415000),)",2a3c603c
408640106,-778314331,3322,1:05:17.690000,"(datetime.datetime(2026, 8, 7, 16, 8, 16, 508000),)",2a3c600d
408639922,-778315725,3421,1:05:17.690000,"(datetime.datetime(2026, 8, 7, 16, 8, 16, 515000),)",2a3c603c
408640130,-778314292,3322,1:05:17.790000,"(datetime.datetime(2026, 8, 7, 16, 8, 16, 608000),)",2a3c600d
408639934,-778315690,3421,1:05:17.790000,"(datetime.datetime(2026, 8, 7, 16, 8, 16, 616000),)",2a3c603c
408640156,-778314251,3322,1:05:17.890000,"(datetime.datetime(2026, 8, 7, 16, 8, 16, 710000),)",2a3c600d
408639946,-778315656,3421,1:05:17.900000,"(datetime.datetime(2026, 8, 7, 16, 8, 16, 723000),)",2a3c603c
408640180,-778314207,3321,1:05:17.990000,"(datetime.datetime(2026, 8, 7, 16, 8, 16, 812000),)",2a3c600d
408639960,-778315619,3421,1:05:18,"(datetime.datetime(2026, 8, 7, 16, 8, 16, 817000),)",2a3c603c
408640206,-778314166,3322,1:05:18.090000,"(datetime.datetime(2026, 8, 7, 16, 8, 16, 907000),)",2a3c600d
408639972,-778315580,3421,1:05:18.090000,"(datetime.datetime(2026, 8, 7, 16, 8, 16, 916000),)",2a3c603c
408640232,-778314122,3321,1:05:18.190000,"(datetime.datetime(2026, 8, 7, 16, 8, 17, 7000),)",2a3c600d
408639985,-778315540,3422,1:05:18.190000,"(datetime.datetime(2026, 8, 7, 16, 8, 17, 15000),)",2a3c603c
408640002,-778315500,3422,1:05:18.260000,"(datetime.datetime(2026, 8, 7, 16, 8, 17, 79000),)",2a3c603c
408640258,-778314078,3321,1:05:18.280000,"(datetime.datetime(2026, 8, 7, 16, 8, 17, 106000),)",2a3c600d
408640013,-778315450,3423,1:05:18.360000,"(datetime.datetime(2026, 8, 7, 16, 8, 17, 180000),)",2a3c603c
408640278,-778314031,3321,1:05:18.390000,"(datetime.datetime(2026, 8, 7, 16, 8, 17, 209000),)",2a3c600d
408640030,-778315404,3423,1:05:18.450000,"(datetime.datetime(2026, 8, 7, 16, 8, 17, 276000),)",2a3c603c
408640303,-778313982,3322,1:05:18.490000,"(datetime.datetime(2026, 8, 7, 16, 8, 17, 309000),)",2a3c600d
408640043,-778315362,3423,1:05:18.550000,"(datetime.datetime(2026, 8, 7, 16, 8, 17, 376000),)",2a3c603c
408640332,-778313936,3322,1:05:18.590000,"(datetime.datetime(2026, 8, 7, 16, 8, 17, 408000),)",2a3c600d
408640061,-778315317,3422,1:05:18.660000,"(datetime.datetime(2026, 8, 7, 16, 8, 17, 478000),)",2a3c603c
408640360,-778313890,3322,1:05:18.680000,"(datetime.datetime(2026, 8, 7, 16, 8, 17, 507000),)",2a3c600d
