lat,long,elev,timediff,current_time,OBUID
408222743,-778885957,3371,0:02:57.230000,"(datetime.datetime(2026, 7, 30, 17, 40, 58, 350000),)",2a3c600a
408222743,-778885957,3371,0:02:57.340000,"(datetime.datetime(2026, 7, 30, 17, 40, 58, 460000),)",2a3c600a
408222743,-778885957,3371,0:02:57.430000,"(datetime.datetime(2026, 7, 30, 17, 40, 58, 551000),)",2a3c600a
408222743,-778885957,3371,0:02:57.530000,"(datetime.datetime(2026, 7, 30, 17, 40, 58, 649000),)",2a3c600a
408222743,-778885957,3371,0:02:57.630000,"(datetime.datetime(2026, 7, 30, 17, 40, 58, 752000),)",2a3c600a
408222743,-778885957,3371,0:02:57.730000,"(datetime.datetime(2026, 7, 30, 17, 40, 58, 849000),)",2a3c600a
408222743,-778885957,3371,0:02:57.830000,"(datetime.datetime(2026, 7, 30, 17, 40, 58, 951000),)",2a3c600a
408222743,-778885957,3371,0:02:57.930000,"(datetime.datetime(2026, 7, 30, 17, 40, 59, 53000),)",2a3c600a
408222743,-778885957,3371,0:02:57.970000,"(datetime.datetime(2026, 7, 30, 17, 40, 59, 92000),)",2a3c600a
408222743,-778885960,3371,0:02:58.070000,"(datetime.datetime(2026, 7, 30, 17, 40, 59, 191000),)",2a3c600a
408222743,-778885960,3371,0:02:58.180000,"(datetime.datetime(2026, 7, 30, 17, 40, 59, 301000),)",2a3c600a
408222743,-778885960,3371,0:02:58.270000,"(datetime.datetime(2026, 7, 30, 17, 40, 59, 392000),)",2a3c600a
408222743,-778885960,3371,0:02:58.370000,"(datetime.datetime(2026, 7, 30, 17, 40, 59, 492000),)",2a3c600a
408222743,-778885960,3371,0:02:58.470000,"(datetime.datetime(2026, 7, 30, 17, 40, 59, 595000),)",2a3c600a
408222743,-778885960,3371,0:02:58.570000,"(datetime.datetime(2026, 7, 30, 17, 40, 59, 692000),)",2a3c600a
408222743,-778885960,3371,0:02:58.680000,"(datetime.datetime(2026, 7, 30, 17, 40, 59, 800000),)",2a3c600a
408222743,-778885960,3371,0:02:58.770000,"(datetime.datetime(2026, 7, 30, 17, 40, 59, 893000),)",2a3c600a
408222743,-778885960,3371,0:02:58.880000,"(datetime.datetime(2026, 7, 30, 17, 41, 0, 3000),)",2a3c600a
408222743,-778885960,3371,0:02:58.970000,"(datetime.datetime(2026, 7, 30, 17, 41, 0, 91000),)",2a3c600a
408222746,-778885965,3372,0:02:59.070000,"(datetime.datetime(2026, 7, 30, 17, 41, 0, 191000),)",2a3c600a
408222746,-778885965,3372,0:02:59.170000,"(datetime.datetime(2026, 7, 30, 17, 41, 0, 297000),)",2a3c600a
408222746,-778885965,3372,0:02:59.280000,"(datetime.datetime(2026, 7, 30, 17, 41, 0, 406000),)",2a3c600a
408222746,-778885965,3372,0:02:59.370000,"(datetime.datetime(2026, 7, 30, 17, 41, 0, 491000),)",2a3c600a
408222746,-778885965,3372,0:02:59.470000,"(datetime.datetime(2026, 7, 30, 17, 41, 0, 596000),)",2a3c600a
408222746,-778885965,3372,0:02:59.570000,"(datetime.datetime(2026, 7, 30, 17, 41, 0, 692000),)",2a3c600a
408222746,-778885965,3372,0:02:59.670000,"(datetime.datetime(2026, 7, 30, 17, 41, 0, 792000),)",2a3c600a
408222746,-778885965,3372,0:02:59.770000,"(datetime.datetime(2026, 7, 30, 17, 41, 0, 892000),)",2a3c600a
408222746,-778885965,3372,0:02:59.870000,"(datetime.datetime(2026, 7, 30, 17, 41, 0, 994000),)",2a3c600a
408222746,-778885965,3372,0:02:59.970000,"(datetime.datetime(2026, 7, 30, 17, 41, 1, 92000),)",2a3c600a
408222747,-778885967,3371,0:03:00.070000,"(datetime.datetime(2026, 7, 30, 17, 41, 1, 194000),)",2a3c600a
408222747,-778885967,3371,0:03:00.170000,"(datetime.datetime(2026, 7, 30, 17, 41, 1, 291000),)",2a3c600a
408222747,-778885967,3371,0:03:00.270000,"(datetime.datetime(2026, 7, 30, 17, 41, 1, 391000),)",2a3c600a
408222747,-778885967,3371,0:03:00.370000,"(datetime.datetime(2026, 7, 30, 17, 41, 1, 490000),)",2a3c600a
408222747,-778885967,3371,0:03:00.470000,"(datetime.datetime(2026, 7, 30, 17, 41, 1, 591000),)",2a3c600a
408222747,-778885967,3371,0:03:00.570000,"(datetime.datetime(2026, 7, 30, 17, 41, 1, 698000),)",2a3c600a
408222747,-778885967,3371,0:03:00.670000,"(datetime.datetime(2026, 7, 30, 17, 41, 1, 794000),)",2a3c600a
408222747,-778885967,3371,0:03:00.770000,"(datetime.datetime(2026, 7, 30, 17, 41, 1, 895000),)",2a3c600a
408222747,-778885967,3371,0:03:00.870000,"(datetime.datetime(2026, 7, 30, 17, 41, 1, 990000),)",2a3c600a
408222747,-778885967,3371,0:03:00.970000,"(datetime.datetime(2026, 7, 30, 17, 41, 2, 95000),)",2a3c600a
408222749,-778885968,3371,0:03:01.070000,"(datetime.datetime(2026, 7, 30, 17, 41, 2, 191000),)",2a3c600a
408222749,-778885968,3371,0:03:01.170000,"(datetime.datetime(2026, 7, 30, 17, 41, 2, 292000),)",2a3c600a
408222749,-778885968,3371,0:03:01.270000,"(datetime.datetime(2026, 7, 30, 17, 41, 2, 393000),)",2a3c600a
408222749,-778885968,3371,0:03:01.370000,"(datetime.datetime(2026, 7, 30, 17, 41, 2, 492000),)",2a3c600a
408222749,-778885968,3371,0:03:01.470000,"(datetime.datetime(2026, 7, 30, 17, 41, 2, 596000),)",2a3c600a
408222749,-778885968,3371,0:03:01.560000,"(datetime.datetime(2026, 7, 30, 17, 41, 2, 678000),)",2a3c600a
408222749,-778885968,3371,0:03:01.660000,"(datetime.datetime(2026, 7, 30, 17, 41, 2, 779000),)",2a3c600a
408222749,-778885968,3371,0:03:01.770000,"(datetime.datetime(2026, 7, 30, 17, 41, 2, 891000),)",2a3c600a
408222749,-778885968,3371,0:03:01.860000,"(datetime.datetime(2026, 7, 30, 17, 41, 2, 979000),)",2a3c600a
408222749,-778885968,3371,0:03:01.960000,"(datetime.datetime(2026, 7, 30, 17, 41, 3, 79000),)",2a3c600a
408222749,-778885966,3371,0:03:02.060000,"(datetime.datetime(2026, 7, 30, 17, 41, 3, 178000),)",2a3c600a
408222749,-778885966,3371,0:03:02.150000,"(datetime.datetime(2026, 7, 30, 17, 41, 3, 277000),)",2a3c600a
408222749,-778885966,3371,0:03:02.370000,"(datetime.datetime(2026, 7, 30, 17, 41, 3, 491000),)",2a3c600a
408222749,-778885966,3371,0:03:02.410000,"(datetime.datetime(2026, 7, 30, 17, 41, 3, 537000),)",2a3c600a
408222749,-778885966,3371,0:03:02.570000,"(datetime.datetime(2026, 7, 30, 17, 41, 3, 695000),)",2a3c600a
408222749,-778885966,3371,0:03:02.620000,"(datetime.datetime(2026, 7, 30, 17, 41, 3, 745000),)",2a3c600a
408222749,-778885966,3371,0:03:02.780000,"(datetime.datetime(2026, 7, 30, 17, 41, 3, 901000),)",2a3c600a
408222749,-778885966,3371,0:03:02.890000,"(datetime.datetime(2026, 7, 30, 17, 41, 4, 9000),)",2a3c600a
408222749,-778885966,3371,0:03:03.040000,"(datetime.datetime(2026, 7, 30, 17, 41, 4, 160000),)",2a3c600a
