lat,long,elev,timediff,OBUID
408223486,-778886270,3369,0:04:48.980000,2a3c603c
408223486,-778886270,3369,0:04:49.080000,2a3c603c
408223486,-778886270,3369,0:04:49.170000,2a3c603c
408223512,-778886260,3370,0:04:49.280000,2a3c603c
408223512,-778886260,3370,0:04:49.370000,2a3c603c
408223512,-778886260,3370,0:04:49.470000,2a3c603c
408223512,-778886260,3370,0:04:49.580000,2a3c603c
408223511,-778886260,3370,0:04:49.670000,2a3c603c
408223511,-778886260,3370,0:04:49.770000,2a3c603c
408223511,-778886260,3370,0:04:49.870000,2a3c603c
408223511,-778886260,3370,0:04:49.970000,2a3c603c
408223511,-778886260,3370,0:04:50.080000,2a3c603c
408223511,-778886260,3370,0:04:50.170000,2a3c603c
408223510,-778886263,3369,0:04:50.270000,2a3c603c
408223510,-778886263,3369,0:04:50.370000,2a3c603c
408223510,-778886263,3369,0:04:50.470000,2a3c603c
408223510,-778886263,3369,0:04:50.570000,2a3c603c
408223510,-778886263,3369,0:04:50.680000,2a3c603c
408223510,-778886263,3369,0:04:50.770000,2a3c603c
408223510,-778886263,3369,0:04:50.910000,2a3c603c
408223510,-778886263,3369,0:04:51.060000,2a3c603c
408223510,-778886263,3369,0:04:51.220000,2a3c603c
408223510,-778886263,3369,0:04:51.390000,2a3c603c
408223514,-778886261,3368,0:04:51.460000,2a3c603c
408223514,-778886261,3368,0:04:51.640000,2a3c603c
408223514,-778886261,3368,0:04:51.850000,2a3c603c
408223514,-778886261,3368,0:04:52.050000,2a3c603c
408223514,-778886261,3368,0:04:52.460000,2a3c603c
408223514,-778886261,3368,0:04:52.670000,2a3c603c
408223514,-778886261,3368,0:04:52.870000,2a3c603c
408223514,-778886261,3368,0:04:53.120000,2a3c603c
408223514,-778886261,3368,0:04:53.280000,2a3c603c
408223514,-778886261,3368,0:04:53.490000,2a3c603c
408223513,-778886261,3367,0:04:53.690000,2a3c603c
408223513,-778886261,3367,0:04:53.890000,2a3c603c
408223513,-778886261,3367,0:04:54.150000,2a3c603c
408223513,-778886261,3367,0:04:54.300000,2a3c603c
408223513,-778886261,3367,0:04:54.510000,2a3c603c
408223513,-778886261,3367,0:04:54.720000,2a3c603c
408223513,-778886261,3367,0:04:54.920000,2a3c603c
408223513,-778886261,3367,0:04:55.330000,2a3c603c
408223513,-778886261,3367,0:04:55.530000,2a3c603c
408223513,-778886261,3367,0:04:55.580000,2a3c603c
408223511,-778886261,3366,0:04:55.730000,2a3c603c
408223511,-778886261,3366,0:04:55.770000,2a3c603c
408223511,-778886261,3366,0:04:55.810000,2a3c603c
408223511,-778886261,3366,0:04:55.820000,2a3c603c
408223511,-778886261,3366,0:04:55.820000,2a3c603c
408223511,-778886261,3366,0:04:55.830000,2a3c603c
408223511,-778886261,3366,0:04:55.830000,2a3c603c
408223511,-778886261,3366,0:04:55.930000,2a3c603c
408223511,-778886261,3366,0:04:56.080000,2a3c603c
408223511,-778886261,3366,0:04:56.140000,2a3c603c
408223514,-778886261,3365,0:04:56.220000,2a3c603c
408223514,-778886261,3365,0:04:56.230000,2a3c603c
408223514,-778886261,3365,0:04:56.230000,2a3c603c
408223514,-778886261,3365,0:04:56.260000,2a3c603c
408223514,-778886261,3365,0:04:56.340000,2a3c603c
408223514,-778886261,3365,0:04:56.470000,2a3c603c
408223514,-778886261,3365,0:04:56.520000,2a3c603c
408223514,-778886261,3365,0:04:56.550000,2a3c603c
408223514,-778886261,3365,0:04:56.670000,2a3c603c
408223514,-778886261,3365,0:04:56.680000,2a3c603c
408223520,-778886264,3365,0:04:56.690000,2a3c603c
408223520,-778886264,3365,0:04:56.690000,2a3c603c
408223520,-778886264,3365,0:04:56.750000,2a3c603c
408223520,-778886264,3365,0:04:56.880000,2a3c603c
408223520,-778886264,3365,0:04:56.960000,2a3c603c
408223520,-778886264,3365,0:04:57.140000,2a3c603c
408223520,-778886264,3365,0:04:57.160000,2a3c603c
408223520,-778886264,3365,0:04:57.290000,2a3c603c
408223520,-778886264,3365,0:04:57.310000,2a3c603c
408223520,-778886264,3365,0:04:57.310000,2a3c603c
408223526,-778886271,3364,0:04:57.350000,2a3c603c
408223526,-778886271,3364,0:04:57.360000,2a3c603c
408223526,-778886271,3364,0:04:57.360000,2a3c603c
408223526,-778886271,3364,0:04:57.370000,2a3c603c
408223526,-778886271,3364,0:04:57.380000,2a3c603c
408223526,-778886271,3364,0:04:57.390000,2a3c603c
408223526,-778886271,3364,0:04:57.400000,2a3c603c
408223526,-778886271,3364,0:04:57.400000,2a3c603c
408223526,-778886271,3364,0:04:57.410000,2a3c603c
408223526,-778886271,3364,0:04:57.420000,2a3c603c
408223522,-778886281,3363,0:04:57.420000,2a3c603c
408223522,-778886281,3363,0:04:57.420000,2a3c603c
408223522,-778886281,3363,0:04:57.420000,2a3c603c
408223522,-778886281,3363,0:04:57.470000,2a3c603c
408223522,-778886281,3363,0:04:57.570000,2a3c603c
408223522,-778886281,3363,0:04:57.670000,2a3c603c
408223522,-778886281,3363,0:04:57.770000,2a3c603c
408223522,-778886281,3363,0:04:57.880000,2a3c603c
408223522,-778886281,3363,0:04:57.980000,2a3c603c
408223522,-778886281,3363,0:04:58.080000,2a3c603c
408223526,-778886282,3362,0:04:58.180000,2a3c603c
408223526,-778886282,3362,0:04:58.310000,2a3c603c
408223526,-778886282,3362,0:04:58.370000,2a3c603c
408223526,-778886282,3362,0:04:58.470000,2a3c603c
408223526,-778886282,3362,0:04:58.580000,2a3c603c
408223526,-778886282,3362,0:04:58.680000,2a3c603c
408223526,-778886282,3362,0:04:58.780000,2a3c603c
408223526,-778886282,3362,0:04:58.880000,2a3c603c
408223526,-778886282,3362,0:04:58.980000,2a3c603c
408223526,-778886282,3362,0:04:59.080000,2a3c603c
408223528,-778886286,3361,0:04:59.180000,2a3c603c
408223528,-778886286,3361,0:04:59.280000,2a3c603c
408223528,-778886286,3361,0:04:59.380000,2a3c603c
408223528,-778886286,3361,0:04:59.480000,2a3c603c
408223528,-778886286,3361,0:04:59.580000,2a3c603c
408223528,-778886286,3361,0:04:59.680000,2a3c603c
408223528,-778886286,3361,0:04:59.780000,2a3c603c
408223528,-778886286,3361,0:04:59.880000,2a3c603c
408223528,-778886286,3361,0:04:59.980000,2a3c603c
408223528,-778886286,3361,0:05:00.060000,2a3c603c
408223533,-778886288,3360,0:05:00.160000,2a3c603c
408223533,-778886288,3360,0:05:00.270000,2a3c603c
408223533,-778886288,3360,0:05:00.360000,2a3c603c
408223533,-778886288,3360,0:05:00.460000,2a3c603c
408223533,-778886288,3360,0:05:00.560000,2a3c603c
408223533,-778886288,3360,0:05:00.660000,2a3c603c
408223533,-778886288,3360,0:05:00.760000,2a3c603c
408223533,-778886288,3360,0:05:00.860000,2a3c603c
408223533,-778886288,3360,0:05:00.960000,2a3c603c
408223533,-778886288,3360,0:05:01.060000,2a3c603c
408223541,-778886290,3360,0:05:01.170000,2a3c603c
408223541,-778886290,3360,0:05:01.260000,2a3c603c
408223541,-778886290,3360,0:05:01.360000,2a3c603c
408223541,-778886290,3360,0:05:01.460000,2a3c603c
408223541,-778886290,3360,0:05:01.570000,2a3c603c
408223541,-778886290,3360,0:05:01.670000,2a3c603c
408223541,-778886290,3360,0:05:01.770000,2a3c603c
408223541,-778886290,3360,0:05:01.860000,2a3c603c
408223541,-778886290,3360,0:05:01.960000,2a3c603c
408223541,-778886290,3360,0:05:02.060000,2a3c603c
408223550,-778886285,3359,0:05:02.160000,2a3c603c
408223550,-778886285,3359,0:05:02.260000,2a3c603c
408223550,-778886285,3359,0:05:02.360000,2a3c603c
408223550,-778886285,3359,0:05:02.460000,2a3c603c
408223550,-778886285,3359,0:05:02.560000,2a3c603c
408223550,-778886285,3359,0:05:02.670000,2a3c603c
408223550,-778886285,3359,0:05:02.760000,2a3c603c
408223550,-778886285,3359,0:05:02.860000,2a3c603c
408223550,-778886285,3359,0:05:02.960000,2a3c603c
408223550,-778886285,3359,0:05:03.060000,2a3c603c
408223558,-778886282,3358,0:05:03.160000,2a3c603c
408223558,-778886282,3358,0:05:03.280000,2a3c603c
408223558,-778886282,3358,0:05:03.360000,2a3c603c
408223558,-778886282,3358,0:05:03.460000,2a3c603c
408223558,-778886282,3358,0:05:03.560000,2a3c603c
