lat,long,elev,timediff,OBUID
408628858,-778341658,3328,0:03:38.300000,9072dada
408628858,-778341660,3328,0:03:38.300000,9072dada
408628858,-778341660,3328,0:03:38.380000,9072dada
408628858,-778341660,3328,0:03:38.470000,9072dada
408628858,-778341659,3328,0:03:38.570000,9072dada
408628858,-778341659,3328,0:03:38.680000,9072dada
408628858,-778341661,3329,0:03:38.780000,9072dada
408628858,-778341661,3329,0:03:38.880000,9072dada
408628858,-778341661,3329,0:03:38.980000,9072dada
408628858,-778341661,3329,0:03:39.080000,9072dada
408628858,-778341661,3329,0:03:39.190000,9072dada
408628858,-778341664,3329,0:03:39.280000,9072dada
408628858,-778341664,3329,0:03:39.380000,9072dada
408628858,-778341664,3329,0:03:39.490000,9072dada
408628858,-778341664,3329,0:03:39.580000,9072dada
408628858,-778341664,3329,0:03:39.700000,9072dada
408628858,-778341666,3329,0:03:39.900000,9072dada
408628858,-778341666,3329,0:03:40,9072dada
408628858,-778341666,3329,0:03:40.080000,9072dada
408628858,-778341666,3329,0:03:40.180000,9072dada
408628858,-778341666,3329,0:03:40.290000,9072dada
408628858,-778341667,3329,0:03:40.300000,9072dada
408628858,-778341667,3329,0:03:40.540000,9072dada
408628858,-778341667,3329,0:03:40.580000,9072dada
408628858,-778341667,3329,0:03:40.590000,9072dada
408628858,-778341667,3329,0:03:40.690000,9072dada
408628858,-778341669,3329,0:03:40.780000,9072dada
408628858,-778341669,3329,0:03:40.890000,9072dada
408628858,-778341668,3329,0:03:40.980000,9072dada
408628858,-778341668,3329,0:03:41.200000,9072dada
408628858,-778341668,3329,0:03:41.290000,9072dada
408628858,-778341670,3330,0:03:41.400000,9072dada
408628858,-778341670,3330,0:03:41.530000,9072dada
408628858,-778341670,3330,0:03:41.540000,9072dada
408628858,-778341670,3330,0:03:41.590000,9072dada
408628858,-778341670,3330,0:03:41.680000,9072dada
408628859,-778341670,3330,0:03:41.780000,9072dada
408628859,-778341670,3330,0:03:41.900000,9072dada
408628859,-778341670,3330,0:03:41.980000,9072dada
408628859,-778341670,3330,0:03:42.260000,9072dada
408628859,-778341670,3330,0:03:42.280000,9072dada
408628859,-778341670,3330,0:03:42.380000,9072dada
408628859,-778341670,3330,0:03:42.490000,9072dada
408628859,-778341670,3330,0:03:42.580000,9072dada
408628859,-778341670,3330,0:03:42.690000,9072dada
408628859,-778341670,3330,0:03:42.780000,9072dada
408628859,-778341668,3330,0:03:42.880000,9072dada
408628859,-778341668,3330,0:03:42.890000,9072dada
408628859,-778341668,3330,0:03:43.180000,9072dada
408628859,-778341668,3330,0:03:43.190000,9072dada
408628859,-778341668,3330,0:03:43.290000,9072dada
408628860,-778341668,3330,0:03:43.300000,9072dada
408628860,-778341668,3330,0:03:43.390000,9072dada
408628860,-778341668,3330,0:03:43.690000,9072dada
408628860,-778341668,3330,0:03:43.700000,9072dada
408628860,-778341668,3330,0:03:43.710000,9072dada
408628861,-778341668,3330,0:03:43.900000,9072dada
408628861,-778341668,3330,0:03:43.910000,9072dada
408628861,-778341668,3330,0:03:44,9072dada
408628861,-778341668,3330,0:03:44.100000,9072dada
408628861,-778341668,3330,0:03:44.190000,9072dada
408628862,-778341668,3330,0:03:44.290000,9072dada
408628862,-778341668,3330,0:03:44.390000,9072dada
408628862,-778341669,3330,0:03:44.490000,9072dada
408628862,-778341669,3330,0:03:44.590000,9072dada
408628862,-778341669,3330,0:03:44.690000,9072dada
408628863,-778341669,3329,0:03:44.790000,9072dada
408628863,-778341669,3329,0:03:44.890000,9072dada
408628864,-778341669,3329,0:03:44.990000,9072dada
408628864,-778341669,3329,0:03:45.090000,9072dada
408628864,-778341669,3329,0:03:45.190000,9072dada
408628865,-778341670,3329,0:03:45.300000,9072dada
408628865,-778341670,3329,0:03:45.540000,9072dada
408628865,-778341670,3329,0:03:45.590000,9072dada
408628865,-778341670,3329,0:03:45.690000,9072dada
408628865,-778341670,3329,0:03:45.790000,9072dada
408628867,-778341670,3329,0:03:45.900000,9072dada
408628867,-778341671,3329,0:03:45.990000,9072dada
408628867,-778341671,3329,0:03:45.990000,9072dada
408628867,-778341671,3329,0:03:46.100000,9072dada
408628867,-778341671,3329,0:03:46.300000,9072dada
408628870,-778341670,3329,0:03:46.300000,9072dada
408628870,-778341670,3329,0:03:46.400000,9072dada
408628870,-778341670,3329,0:03:46.490000,9072dada
408628870,-778341670,3329,0:03:46.590000,9072dada
408628870,-778341670,3329,0:03:46.690000,9072dada
408628872,-778341669,3329,0:03:46.790000,9072dada
408628872,-778341669,3329,0:03:46.890000,9072dada
408628872,-778341669,3329,0:03:46.990000,9072dada
408628872,-778341669,3329,0:03:47.090000,9072dada
