lat,long,elev,timediff,OBUID
408622061,-778363866,3338,0:06:46.440000,2a3c600d
408622060,-778363866,3338,0:06:46.560000,2a3c600d
408622061,-778363865,3338,0:06:46.660000,2a3c600d
408622062,-778363865,3338,0:06:46.760000,2a3c600d
408622062,-778363864,3338,0:06:46.840000,2a3c600d
408622061,-778363863,3338,0:06:46.940000,2a3c600d
408622060,-778363862,3338,0:06:47.060000,2a3c600d
408622061,-778363861,3338,0:06:47.170000,2a3c600d
408622099,-778363887,3335,0:06:47.240000,2a3c600d
408622099,-778363887,3335,0:06:47.340000,2a3c600d
408622099,-778363887,3335,0:06:47.440000,2a3c600d
408622099,-778363887,3335,0:06:47.550000,2a3c600d
408622099,-778363887,3335,0:06:47.660000,2a3c600d
408622099,-778363887,3335,0:06:47.740000,2a3c600d
408622099,-778363887,3335,0:06:47.790000,2a3c600d
408622099,-778363887,3335,0:06:47.890000,2a3c600d
408622099,-778363887,3335,0:06:47.990000,2a3c600d
408622099,-778363887,3335,0:06:48.090000,2a3c600d
408622083,-778363837,3334,0:06:48.190000,2a3c600d
408622075,-778363822,3334,0:06:48.290000,2a3c600d
408622069,-778363806,3334,0:06:48.400000,2a3c600d
408622064,-778363790,3334,0:06:48.490000,2a3c600d
408622057,-778363773,3334,0:06:48.590000,2a3c600d
408622050,-778363754,3335,0:06:48.710000,2a3c600d
408622042,-778363736,3334,0:06:48.790000,2a3c600d
408622034,-778363715,3335,0:06:48.890000,2a3c600d
408622026,-778363693,3335,0:06:48.990000,2a3c600d
408622016,-778363670,3335,0:06:49.100000,2a3c600d
408621998,-778363639,3332,0:06:49.190000,2a3c600d
408621987,-778363609,3332,0:06:49.290000,2a3c600d
408621977,-778363583,3332,0:06:49.400000,2a3c600d
408621965,-778363553,3332,0:06:49.490000,2a3c600d
408621953,-778363523,3332,0:06:49.620000,2a3c600d
408621941,-778363488,3332,0:06:49.690000,2a3c600d
408621929,-778363456,3332,0:06:49.790000,2a3c600d
408621916,-778363419,3332,0:06:49.890000,2a3c600d
408621903,-778363384,3332,0:06:50,2a3c600d
408621889,-778363349,3332,0:06:50.120000,2a3c600d
408621866,-778363315,3331,0:06:50.290000,2a3c600d
408621851,-778363275,3331,0:06:50.550000,2a3c600d
408621837,-778363236,3330,0:06:50.560000,2a3c600d
408621821,-778363195,3330,0:06:50.570000,2a3c600d
408621808,-778363155,3331,0:06:50.610000,2a3c600d
408621792,-778363114,3330,0:06:50.710000,2a3c600d
408621776,-778363074,3331,0:06:50.800000,2a3c600d
408621761,-778363029,3330,0:06:50.920000,2a3c600d
408621745,-778362986,3330,0:06:51,2a3c600d
408621730,-778362941,3330,0:06:51.110000,2a3c600d
408621718,-778362904,3329,0:06:51.190000,2a3c600d
408621701,-778362858,3329,0:06:51.290000,2a3c600d
408621685,-778362810,3329,0:06:51.390000,2a3c600d
408621668,-778362766,3329,0:06:51.490000,2a3c600d
408621652,-778362717,3329,0:06:51.590000,2a3c600d
408621636,-778362671,3329,0:06:51.690000,2a3c600d
