lat,long,elev,timediff
408628006,-778337917,3338,0:34:12.389000,2a3c600a
408628095,-778337784,3339,0:34:12.500000,2a3c600a
408628183,-778337652,3338,0:34:12.590000,2a3c600a
408628265,-778337518,3339,0:34:12.690000,2a3c600a
408628352,-778337382,3339,0:34:12.790000,2a3c600a
408628436,-778337249,3339,0:34:12.889000,2a3c600a
408628522,-778337115,3338,0:34:13,2a3c600a
408628605,-778336982,3338,0:34:13.090000,2a3c600a
408628689,-778336846,3338,0:34:13.199000,2a3c600a
408628775,-778336708,3339,0:34:13.300000,2a3c600a
408628858,-778336570,3338,0:34:13.400000,2a3c600a
408628944,-778336432,3339,0:34:13.500000,2a3c600a
408629023,-778336297,3339,0:34:13.600000,2a3c600a
408629108,-778336158,3339,0:34:13.820000,2a3c600a
408629191,-778336021,3339,0:34:13.920000,2a3c600a
408629273,-778335881,3339,0:34:13.989000,2a3c600a
408629357,-778335743,3339,0:34:14.020000,2a3c600a
408629441,-778335601,3339,0:34:14.230000,2a3c600a
408629524,-778335462,3339,0:34:14.560000,2a3c600a
408629608,-778335322,3339,0:34:14.610000,2a3c600a
408629694,-778335183,3339,0:34:14.670000,2a3c600a
408629772,-778335042,3339,0:34:14.739000,2a3c600a
408629857,-778334898,3339,0:34:14.960000,2a3c600a
408629940,-778334763,3339,0:34:15.050000,2a3c600a
408630026,-778334622,3339,0:34:15.179000,2a3c600a
408630105,-778334476,3339,0:34:15.250000,2a3c600a
408630188,-778334340,3338,0:34:15.449000,2a3c600a
408630272,-778334199,3339,0:34:15.590000,2a3c600a
408630355,-778334055,3339,0:34:15.650000,2a3c600a
408630439,-778333915,3339,0:34:15.659000,2a3c600a
408630524,-778333776,3339,0:34:15.760000,2a3c600a
408630609,-778333635,3339,0:34:15.980000,2a3c600a
408630695,-778333493,3339,0:34:16.070000,2a3c600a
408630775,-778333350,3339,0:34:16.199000,2a3c600a
408630860,-778333210,3339,0:34:16.290000,2a3c600a
408630945,-778333068,3338,0:34:16.480000,2a3c600a
408631024,-778332925,3338,0:34:16.610000,2a3c600a
408631111,-778332784,3338,0:34:16.800000,2a3c600a
408631192,-778332641,3338,0:34:16.889000,2a3c600a
408631275,-778332500,3338,0:34:17.020000,2a3c600a
408631359,-778332355,3338,0:34:17.210000,2a3c600a
408631440,-778332214,3338,0:34:17.300000,2a3c600a
408631526,-778332074,3339,0:34:17.389000,2a3c600a
408631612,-778331931,3339,0:34:17.400000,2a3c600a
408631698,-778331792,3339,0:34:17.500000,2a3c600a
408631780,-778331648,3339,0:34:17.610000,2a3c600a
408631867,-778331501,3339,0:34:17.739000,2a3c600a
408631953,-778331358,3339,0:34:17.810000,2a3c600a
408632035,-778331216,3339,0:34:17.949000,2a3c600a
408632119,-778331072,3339,0:34:18.010000,2a3c600a
408632203,-778330929,3339,0:34:18.139000,2a3c600a
408632288,-778330785,3339,0:34:18.170000,2a3c600a
408632373,-778330641,3339,0:34:18.170000,2a3c600a
408632457,-778330497,3339,0:34:18.219000,2a3c600a
408632543,-778330354,3339,0:34:18.370000,2a3c600a
408632631,-778330211,3340,0:34:18.429000,2a3c600a
408632718,-778330066,3340,0:34:18.530000,2a3c600a
408632800,-778329924,3339,0:34:18.630000,2a3c600a
408632885,-778329776,3339,0:34:18.730000,2a3c600a
408632969,-778329631,3340,0:34:18.820000,2a3c600a
408633053,-778329487,3339,0:34:18.820000,2a3c600a
408633136,-778329340,3340,0:34:18.830000,2a3c600a
408633224,-778329195,3340,0:34:18.830000,2a3c600a
408633307,-778329051,3339,0:34:18.840000,2a3c600a
408633390,-778328904,3339,0:34:18.840000,2a3c600a
408633475,-778328761,3339,0:34:18.900000,2a3c600a
408633560,-778328613,3339,0:34:19,2a3c600a
408633647,-778328467,3339,0:34:19.100000,2a3c600a
408633728,-778328320,3339,0:34:19.199000,2a3c600a
408633813,-778328176,3339,0:34:19.300000,2a3c600a
408633899,-778328029,3339,0:34:19.400000,2a3c600a
408633979,-778327883,3339,0:34:19.550000,2a3c600a
408634068,-778327734,3339,0:34:19.690000,2a3c600a
408634150,-778327587,3339,0:34:19.750000,2a3c600a
408634236,-778327442,3339,0:34:19.860000,2a3c600a
408634320,-778327296,3339,0:34:20.080000,2a3c600a
408634406,-778327150,3339,0:34:20.280000,2a3c600a
408634490,-778327001,3339,0:34:20.570000,2a3c600a
408634575,-778326854,3340,0:34:20.630000,2a3c600a
408634662,-778326709,3339,0:34:20.780000,2a3c600a
408634745,-778326563,3339,0:34:20.920000,2a3c600a
408634831,-778326412,3340,0:34:21.100000,2a3c600a
408634915,-778326266,3339,0:34:21.190000,2a3c600a
408635000,-778326120,3340,0:34:21.510000,2a3c600a
