lat,long,elev,timediff
408636815,-778374314,3332,0:35:32.480000,2a3c600a
408636039,-778374367,3331,0:35:33.090000,2a3c600a
408633550,-778374220,3329,0:35:34.980000,2a3c600a
408633289,-778374176,3329,0:35:35.280000,2a3c600a
408633029,-778374131,3328,0:35:35.340000,2a3c600a
408632519,-778374017,3328,0:35:35.770000,2a3c600a
408632140,-778373916,3327,0:35:36.060000,2a3c600a
408632012,-778373871,3327,0:35:36.170000,2a3c600a
408631889,-778373835,3327,0:35:36.280000,2a3c600a
408631765,-778373795,3327,0:35:36.380000,2a3c600a
408631638,-778373750,3327,0:35:36.470000,2a3c600a
408631512,-778373708,3327,0:35:36.580000,2a3c600a
408631387,-778373662,3327,0:35:36.640000,2a3c600a
408631264,-778373617,3326,0:35:36.720000,2a3c600a
408631017,-778373522,3326,0:35:37.010000,2a3c600a
408630888,-778373480,3326,0:35:37.090000,2a3c600a
408630521,-778373311,3325,0:35:37.330000,2a3c600a
408630399,-778373252,3325,0:35:37.410000,2a3c600a
408630276,-778373189,3325,0:35:37.510000,2a3c600a
408630155,-778373128,3325,0:35:37.610000,2a3c600a
408630031,-778373064,3325,0:35:37.710000,2a3c600a
408629912,-778372999,3325,0:35:37.810000,2a3c600a
408629790,-778372934,3325,0:35:37.910000,2a3c600a
408629667,-778372872,3324,0:35:38.010000,2a3c600a
408629545,-778372797,3325,0:35:38.110000,2a3c600a
408629427,-778372730,3324,0:35:38.220000,2a3c600a
408629305,-778372658,3324,0:35:38.310000,2a3c600a
408629187,-778372587,3324,0:35:38.420000,2a3c600a
408628949,-778372436,3323,0:35:38.710000,2a3c600a
408628831,-778372360,3323,0:35:38.730000,2a3c600a
408628715,-778372281,3323,0:35:38.810000,2a3c600a
408628130,-778371871,3323,0:35:39.340000,2a3c600a
408628016,-778371783,3322,0:35:39.420000,2a3c600a
408627785,-778371605,3322,0:35:39.840000,2a3c600a
408626787,-778370730,3322,0:35:40.660000,2a3c600a
408626678,-778370628,3322,0:35:40.670000,2a3c600a
408626467,-778370420,3322,0:35:40.960000,2a3c600a
408626248,-778370209,3323,0:35:41.060000,2a3c600a
408626147,-778370098,3322,0:35:41.150000,2a3c600a
408625939,-778369879,3322,0:35:41.360000,2a3c600a
408625835,-778369767,3322,0:35:41.460000,2a3c600a
408625734,-778369654,3322,0:35:41.550000,2a3c600a
408625635,-778369541,3322,0:35:41.660000,2a3c600a
408625534,-778369427,3323,0:35:41.760000,2a3c600a
408625434,-778369310,3323,0:35:41.860000,2a3c600a
408625335,-778369197,3323,0:35:41.960000,2a3c600a
408625233,-778369085,3323,0:35:42.060000,2a3c600a
408625139,-778368963,3323,0:35:42.170000,2a3c600a
408625043,-778368840,3323,0:35:42.260000,2a3c600a
408624949,-778368722,3323,0:35:42.360000,2a3c600a
408624857,-778368599,3323,0:35:42.460000,2a3c600a
408624764,-778368476,3324,0:35:42.560000,2a3c600a
408624675,-778368353,3324,0:35:42.660000,2a3c600a
408624584,-778368229,3324,0:35:42.760000,2a3c600a
408624496,-778368103,3324,0:35:42.870000,2a3c600a
408624410,-778367975,3324,0:35:42.960000,2a3c600a
408624317,-778367852,3324,0:35:43.070000,2a3c600a
408624237,-778367722,3324,0:35:43.160000,2a3c600a
408624153,-778367596,3324,0:35:43.260000,2a3c600a
408624071,-778367466,3324,0:35:43.360000,2a3c600a
408623989,-778367336,3324,0:35:43.450000,2a3c600a
408623907,-778367204,3324,0:35:43.560000,2a3c600a
408623829,-778367073,3324,0:35:43.660000,2a3c600a
408623750,-778366940,3324,0:35:43.760000,2a3c600a
